"site_id","name","cluster_lon","cluster_lat","mean_total_abundance_during","mean_total_abundance_post","mean_total_abundance_pre","mean_newstrand_abundance_during","mean_newstrand_abundance_post","mean_newstrand_abundance_pre","mean_oldstrand_abundance_during","mean_oldstrand_abundance_post","mean_oldstrand_abundance_pre","total_pcs_change","newstrand_pcs_change","oldstrand_pcs_change","total_prct_change","newstrand_prct_change","oldstrand_prct_change","total_change_type","new_change_type","old_change_type"
"284_cluster","IMELDA",-95.2942955,29.746623,NA,24,4950,NA,0,0,NA,24,4950,-4926,0,-4926,-99.5151515151515,0,-99.5151515151515,"depletion","no_change","depletion"
"2_cluster","GRACE",-96.1244223623188,19.1943324637681,NA,6,9,NA,0,0,NA,6,9,-3,0,-3,-33.3333333333333,0,-33.3333333333333,"depletion","no_change","depletion"
"2_cluster","KARL",-96.1244223623188,19.1943324637681,NA,50,10,NA,0,0,NA,50,10,40,0,40,400,0,400,"accumulation","no_change","accumulation"
"32_cluster","BARRY",-95.0088200169492,29.6536155338983,NA,272,89,NA,0,0,NA,272,89,183,0,183,205.61797752809,0,205.61797752809,"accumulation","no_change","accumulation"
"32_cluster","IMELDA",-95.0088200169492,29.6536155338983,NA,302,82,NA,64,0,NA,252,82,220,64,170,268.292682926829,NA,207.317073170732,"accumulation","accumulation","accumulation"
"32_cluster","NICHOLAS",-95.0088200169492,29.6536155338983,NA,38,72,NA,30,11,NA,16,123,-34,19,-107,-47.2222222222222,172.727272727273,-86.9918699186992,"depletion","accumulation","depletion"
"34_cluster","CLAUDETTE",-90.0719117241379,29.1769082068966,NA,30,27,NA,29,27,NA,4,NA,3,2,NA,11.1111111111111,7.40740740740741,NA,"accumulation","accumulation",NA
"3_cluster","BETA",-97.1000093112128,27.7692100183066,NA,74,53,NA,59,53,NA,43,NA,21,6,NA,39.622641509434,11.3207547169811,NA,"accumulation","accumulation",NA
"3_cluster","DELTA",-97.1000093112128,27.7692100183066,119,47,53,119,15,53,NA,43,NA,-6,-38,NA,-11.3207547169811,-71.6981132075472,NA,"depletion","depletion",NA
"3_cluster","HANNA",-97.1000093112128,27.7692100183066,NA,45,3,NA,39,0,NA,25,4,42,39,21,1400,NA,525,"accumulation","accumulation","accumulation"
"3_cluster","IMELDA",-97.1000093112128,27.7692100183066,67,31,77,0,31,52,67,1,124,-46,-21,-123,-59.7402597402597,-40.3846153846154,-99.1935483870968,"depletion","depletion","depletion"
"42_cluster","IMELDA",-97.2713605714286,27.4824022678571,NA,19,44,NA,19,0,NA,NA,44,-25,19,NA,-56.8181818181818,NA,NA,"depletion","accumulation",NA
"46_cluster","DELTA",-89.9945463846154,29.9399062307692,NA,1675,295,NA,0,295,NA,1675,NA,1380,-295,NA,467.796610169492,-100,NA,"accumulation","depletion",NA
"46_cluster","IDA",-89.9945463846154,29.9399062307692,NA,193,253,NA,193,253,NA,NA,NA,-60,-60,NA,-23.7154150197628,-23.7154150197628,NA,"depletion","depletion",NA
"46_cluster","ZETA",-89.9945463846154,29.9399062307692,NA,1675,295,NA,0,295,NA,1675,NA,1380,-295,NA,467.796610169492,-100,NA,"accumulation","depletion",NA
"58_cluster","MARCO",-90.04972878125,29.95736728125,NA,366,4306,NA,223,3472,NA,275,1667,-3940,-3249,-1392,-91.500232234092,-93.5771889400922,-83.503299340132,"depletion","depletion","depletion"
"58_cluster","SALLY",-90.04972878125,29.95736728125,NA,301,945,NA,192,802,NA,164,275,-644,-610,-111,-68.1481481481482,-76.0598503740648,-40.3636363636364,"depletion","depletion","depletion"
"65_cluster","BETA",-97.163652079646,26.1098216460177,NA,12,76,NA,4,32,NA,15,NA,-64,-28,NA,-84.2105263157895,-87.5,NA,"depletion","depletion",NA
"65_cluster","OLGA",-97.163652079646,26.1098216460177,NA,46,45,NA,0,56,NA,46,0,1,-56,46,2.22222222222222,-100,NA,"accumulation","depletion","accumulation"
"6_cluster","FRANCINE",-94.04676075,29.673591625,NA,0,0,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,"no_change","no_change",NA
"73_cluster","BARRY",-87.8377128928571,30.3767237857143,NA,1,2,NA,0,0,NA,1,2,-1,0,-1,-50,0,-50,"depletion","no_change","depletion"
"73_cluster","CRISTOBAL",-87.8377128928571,30.3767237857143,NA,1,1,NA,0,1,NA,1,0,0,-1,1,0,-100,NA,"no_change","depletion","accumulation"
